Unnamed: 0,SMILES,target_OPRD1_standard_value,compound_id
143,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,4.944512687876156,109
144,NC(=O)c1cccc(OC2C[C@@H]3CC[C@H](C2)N3CC(=O)Nc2ccccc2)c1,5.57381,110
147,Cc1ccc(CN2[C@H]3CC[C@@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)cc1,4.916090602594951,111
148,Cc1cccc(CN2[C@H]3CC[C@@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)c1,4.916090602594951,112
150,Oc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.158536997089463,113
152,NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3CCc2ccccc2)c1,5.67,114
154,COc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.174143001609267,115
155,NC(=O)c1cccc(N[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,4.786090602703023,116
156,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccc(O)cc32)cc1,9.3041328861051,117
157,Cc1ccc(CN2[C@H]3CC[C@@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)o1,4.616090615225053,118
158,CCC1(c2cccc(N=S(C)(=O)O)c2)[C@H]2CN(CC3(O)Cc4ccccc4C3)C[C@H]21,6.76955,119
160,NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3CC(=O)Nc2ccccc2)c1,5.57,120
162,NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,4.516090624716834,121
163,CCNC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,8.100905493248451,122
164,NC(=O)c1cccc(OC2C[C@@H]3CC[C@H](C2)N3CCCc2ccccc2)c1,5.39794,123
168,C[C@@H]1CN(CCO)CCN1c1cc2[nH]c(SC(C)(C)C)nc2cc1Cl,5.92,124
169,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,6.9195622416444005,125
170,COC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.913259262861517,126
174,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1F,8.920546251317461,127
175,CC(C)N(C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)C(C)C,8.920546251317461,128
178,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,7.2564102459375475,129
179,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1,5.4056556198048735,130
180,CC[C@@]1(c2cccc(C(N)=O)c2)[C@H]2CN(CC3(O)Cc4ccccc4C3)C[C@H]21,6.97,131
182,CCC1(c2cccc(N=S(C)(=O)O)c2)[C@H]2CN(CCCC3(O)CCCCC3)C[C@H]21,6.779889999999999,132
183,CCN(CC)C(=O)c1ccc([C@H]2CC3(CCNCC3)Oc3ccccc32)cc1,8.877009262861518,133
184,NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccc3c(c2)OCO3)c1,5.315,134
188,Oc1c(I)cc(Cl)c2cccnc12,4.49485,135
189,N#Cc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.616114373724173,136
191,CN(C)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.88625,137
192,CC[C@@]1(c2cccc(N=S(C)(=O)O)c2)[C@H]2CN(CCCC3(O)CCCCC3)C[C@H]21,6.78,138
194,NC(=O)c1cccc(OC2C[C@@H]3CC[C@H](C2)N3Cc2ccc3c(c2)OCO3)c1,5.31498,139
195,C=S(O)(O)=Cc1ccc(CN2[C@H]3CC[C@@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)cc1,5.27,140
196,CCC1(c2cccc(C(N)=O)c2)[C@H]2CN(CC3(O)Cc4ccccc4C3)C[C@H]21,6.96658,141
197,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(C)c1,8.619929586096129,142
198,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,8.614864373724174,143
202,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,7.058435412820232,144
204,COc1ccc(-c2cc(O)n(-c3nc4ccccc4[nH]3)n2)cc1,4.49485,145
207,CN(C(=O)Cc1ccc(CNS(=O)(=O)c2ccc(F)cc2)cc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,7.200329862636607,146
208,CNC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.648614373724174,147
209,COC(=O)Nc1ccc2c(c1)CCC(C(=O)N(C)[C@H](CN1CC[C@H](O)C1)c1ccccc1)O2,5.301029995663981,148
210,Cc1ccc(S(=O)(=O)NCc2ccc(CC(=O)N(C)[C@H](CN3CC[C@H](O)C3)c3ccccc3)cc2)cc1,7.569659058960253,149
211,CN(C(=O)Cc1ccc(CNS(=O)(=O)c2ccccc2)cc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,7.080460476905983,150
212,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,6.377344387259583,151
213,CN(C(=O)[C@H]1CCc2ccccc2O1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,5.301029995663981,152
214,C[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CC1CC1,9.096910013008056,153
215,CC(=O)Nc1ccc2c(c1)CCC(C(=O)N(C)[C@H](CN1CC[C@H](O)C1)c1ccccc1)O2,5.301029995663981,154
216,COc1ccc(-c2csc(N3C(=N)SCC3=O)n2)cc1,4.49485,155
217,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,7.944367883221264,156
219,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,8.317527197811259,157
222,O=c1[nH]c2ccccc2n(C2CCN(Cc3cc4c(cc3Cl)OCO4)CC2)c1=O,6.21,158
226,O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(O)nc3ccccc32)CC1,5.6,159
227,O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccc(C(F)(F)F)cc1,8.570722554120023,160
229,CCC(C)(C(=O)NC1CCCC1)N(Cc1ccco1)C(=O)c1ccccn1,4.49485,161
231,Oc1c(Cl)cc(Cl)c2cccnc12,4.49485,162
232,Cc1ccc(C(=O)N[C@@H]2CC[C@@]3(O)[C@H]4Cc5ccc(O)c6c5[C@@]3(CCN4CC3CC3)[C@H]2O6)cc1,9.715,163
233,O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccc(I)cc1,8.78351259946491,164
237,NC(=O)C1(c2ccccc2)CC2CCC(C1)N2C(c1ccccc1Cl)c1ccccc1Cl,5.631695072401893,165
239,CC(Oc1ccc(Br)cc1)C(=O)Nc1nc(-c2ccccn2)cs1,4.49485,166
241,CCOc1ccc2nc(-n3c(O)cnc3S)sc2c1,4.49485,167
242,O=[N+]([O-])c1cc(Cl)c(O)c2ncccc12,4.49485,168
244,Oc1ccc(CN2CCc3ccccc3C2)c2cccnc12,4.49485,169
245,O=S(=O)(Nc1cccc2ncccc12)c1cccs1,4.49485,170
246,Clc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)c(Cl)c1,4.49485,171
249,CCc1nnc(NC(=O)c2cccc(C(=O)Nc3nnc(CC)s3)n2)s1,4.49485,172
250,Clc1cccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)c1,4.49485,173
251,CCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],4.486090627375237,174
252,Cc1[nH]c2ccccc2c1/C=C1\SC(=N)N(c2nccs2)C1=O,4.586090618171292,175
253,Cc1cccc(CSc2cccc3cccnc23)c1,4.49485,176
255,Cc1ccc(Nc2cc(C)nn2-c2nc(C)cc(O)n2)cc1,4.49485,177
256,O=S(=O)(Nc1cccc2cccnc12)c1ccc(S(=O)(=O)N2CCCC2)cc1,4.49485,178
258,CNc1cc(Cl)c2nonc2c1[N+](=O)[O-],4.9374984068177215,179
259,COc1ccc(C(=O)CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1,4.49485,180
260,COc1ccc(CCN2C(=O)CS/C2=N\c2ccc(C(C)C)cc2)cc1OC,4.49485,181
261,CC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],4.49485,182
265,CCCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],4.49485,183
266,CCC(=O)OCCNc1cc(Sc2nc3ccccc3[nH]2)c2nonc2c1[N+](=O)[O-],4.49485,184
